iter	Passed	Remaining
749	8230	3884
750	8241	3873
751	8251	3862
752	8256	3848
753	8267	3837
754	8278	3826
755	8291	3816
756	8297	3803
757	8307	3791
758	8319	3781
759	8331	3771
760	8343	3760
761	8352	3748
762	8364	3738
763	8376	3727
764	8382	3714
765	8395	3704
766	8407	3694
767	8420	3683
768	8433	3673
769	8445	3663
770	8456	3652
771	8468	3641
772	8481	3631
773	8492	3620
774	8504	3610
775	8514	3598
776	8522	3586
777	8531	3575
778	8543	3564
779	8554	3553
780	8564	3542
781	8575	3531
782	8586	3520
783	8596	3508
784	8608	3498
785	8619	3487
786	8630	3476
787	8640	3464
788	8652	3454
789	8664	3443
790	8675	3432
791	8686	3421
792	8696	3410
793	8707	3399
794	8719	3389
795	8726	3376
796	8736	3365
797	8747	3354
798	8759	3343
799	8770	3332
800	8781	3321
801	8791	3310
802	8801	3299
803	8814	3289
804	8827	3278
805	8838	3267
806	8843	3254
807	8852	3243
808	8863	3232
809	8873	3220
810	8884	3209
811	8894	3198
812	8905	3187
813	8916	3176
814	8928	3166
815	8939	3155
816	8949	3143
817	8959	3132
818	8970	3121
819	8981	3110
820	8992	3099
821	9003	3088
822	9014	3077
823	9026	3067
824	9038	3056
825	9048	3045
826	9058	3034
827	9069	3023
828	9080	3012
829	9091	3001
830	9101	2990
831	9112	2979
832	9122	2967
833	9133	2957
834	9146	2946
835	9158	2935
836	9171	2925
837	9183	2915
838	9196	2904
839	9208	2894
840	9221	2883
841	9232	2872
842	9246	2862
843	9259	2852
844	9272	2842
845	9284	2831
846	9295	2820
847	9308	2810
848	9321	2799
849	9334	2789
850	9346	2778
851	9360	2768
852	9372	2757
853	9385	2747
854	9399	2737
855	9411	2726
856	9424	2716
857	9436	2705
858	9450	2695
859	9462	2684
860	9483	2676
861	9498	2666
862	9510	2655
863	9522	2645
864	9536	2634
865	9548	2624
866	9560	2613
867	9574	2603
868	9587	2592
869	9600	2582
870	9613	2571
871	9625	2560
872	9637	2550
873	9651	2539
874	9664	2529
875	9677	2518
876	9690	2508
877	9703	2497
878	9715	2486
879	9727	2476
880	9739	2465
881	9751	2454
882	9763	2443
883	9774	2432
884	9786	2421
885	9798	2410
886	9810	2400
887	9821	2388
888	9834	2378
889	9846	2367
890	9858	2356
891	9870	2345
892	9883	2335
893	9896	2324
894	9909	2314
895	9921	2303
896	9934	2292
