iter	MAE	RMSE
339	0.6203206804	0.8204033003
340	0.6202556313	0.8203401703
341	0.620163807	0.8202376176
342	0.6200891677	0.8201320478
343	0.6200221017	0.8200263689
344	0.6199830673	0.8199612847
345	0.6199571353	0.8199192054
346	0.6199039964	0.8198594516
347	0.6198174805	0.8197428956
348	0.619799909	0.8197251301
349	0.6197778676	0.819698266
350	0.6197230124	0.8196487699
351	0.6196278451	0.8195926767
352	0.6195957142	0.8195633148
353	0.6194012792	0.8194529627
354	0.619361382	0.8194071667
355	0.6192745714	0.8193167755
356	0.6191839857	0.8192321222
357	0.6190897237	0.8191323612
358	0.6190572109	0.8190988436
359	0.6189778959	0.818995358
360	0.6189145808	0.8189003835
361	0.6188793167	0.8188656208
362	0.6188173526	0.8187909306
363	0.6187426396	0.8187453574
364	0.6187224666	0.818721587
365	0.6186492823	0.8186468325
366	0.6185634393	0.8185466356
367	0.6184921791	0.8184898849
368	0.6184140951	0.8184265551
369	0.6183776754	0.8184110023
370	0.6183455054	0.8183823392
371	0.6183214309	0.8183627402
372	0.6182526994	0.8182551604
373	0.6181170797	0.8181727358
374	0.6180762038	0.8181041607
375	0.6180197319	0.8180582785
376	0.6177812411	0.8179128825
377	0.6177667662	0.8178827863
378	0.6177118844	0.8178369795
379	0.6176797038	0.8178028278
380	0.6176096537	0.8176729369
381	0.6175600646	0.8176375351
382	0.6175212963	0.8176108376
383	0.6174540363	0.8175332927
384	0.617409996	0.8174967834
385	0.617374471	0.8174774002
386	0.6173415521	0.8174525418
387	0.6172309347	0.8173762578
388	0.6172022974	0.8173384135
389	0.6171684963	0.8173006743
390	0.6171173505	0.8172627993
391	0.6170788732	0.8172404418
392	0.6168329199	0.8171091027
393	0.6167315912	0.8170649908
394	0.6167301132	0.8170582072
395	0.616728637	0.8170514914
396	0.6165620053	0.8169428291
397	0.6165084166	0.8168601779
398	0.6164224468	0.816773492
399	0.6164081479	0.8166991194
400	0.6162558662	0.816618122
401	0.6162544153	0.8166114808
402	0.6162434546	0.816608892
403	0.6161904553	0.8165674019
404	0.6160334432	0.8163458046
405	0.6159958945	0.8163163956
406	0.6159867677	0.8162931458
407	0.6158440131	0.816183891
408	0.6157815696	0.816137347
409	0.6156707349	0.815910102
410	0.6156278161	0.8158847369
411	0.6155088805	0.8157665873
412	0.6154961418	0.815752541
413	0.6154873375	0.8157424031
414	0.61547129	0.8157141492
415	0.6154143217	0.8156448375
416	0.6153587708	0.8155837651
417	0.6152469909	0.8155334105
418	0.6151770194	0.8154582864
419	0.6151179687	0.8154103764
420	0.6150093963	0.8152794084
421	0.614932135	0.815202024
422	0.614875775	0.8151526435
423	0.614791263	0.8150510005
424	0.6146845604	0.8148928859
425	0.6145528463	0.8147561421
426	0.6144576277	0.8146715151
427	0.6142642479	0.8145416885
428	0.6141930775	0.8144667979
429	0.6141698248	0.8144414303
430	0.6141480222	0.8144011804
431	0.6139805991	0.8142729218
432	0.6138705157	0.8141681856
433	0.6138634729	0.8141631806
434	0.6138329968	0.814137532
435	0.6137838968	0.814094439
436	0.613707881	0.8140369331
437	0.6135255204	0.8139349841
438	0.6134856971	0.8138990126
439	0.613484423	0.8138968278
440	0.6134683849	0.8138731106
441	0.6133628622	0.8137661196
442	0.6132413552	0.8136963405
443	0.6130937439	0.8136339729
444	0.6130729598	0.8136117829
445	0.6129959647	0.8135073517
446	0.6129193249	0.8134384674
447	0.6129140133	0.8134182763
448	0.6128677003	0.8133826092
449	0.6128662701	0.8133763871
450	0.6128650256	0.8133742331
451	0.6127851423	0.813333757
452	0.6127699123	0.8133114367
453	0.6126851924	0.8132188581
454	0.6126500151	0.8131929152
455	0.6126205077	0.8131567874
